Año,Mes,Motivo de Reclamo,Operador,Cantidad
2023,2,Otros,DIRECTV Argentina S.A.L,1
2023,2,Otros,Fibertel S.A. (TCI),2
2023,2,Otros,Movistar - Telefonica Moviles Argentina S.A.,16
2023,2,Otros,Otros,3
2023,2,Otros,TELECENTRO S.A.,7
2023,2,Otros,Telecom Argentina S.A.,46
2023,2,Otros,Telefonica de Argentina S.A.,5
2023,2,Problemas Técnicos,AMX Argentina S.A. (Claro),12
2023,2,Problemas Técnicos,DIRECTV Argentina S.A.L,1
2023,2,Problemas Técnicos,Fibertel S.A. (TCI),6
2023,2,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,15
2023,2,Problemas Técnicos,NSS S.A.,2
2023,2,Problemas Técnicos,Otros,66
2023,2,Problemas Técnicos,SION S.A.,1
2023,2,Problemas Técnicos,TELECENTRO S.A.,84
2023,2,Problemas Técnicos,Telecom Argentina S.A.,676
2023,2,Problemas Técnicos,Telefonica de Argentina S.A.,273
2023,2,Problemas Técnicos,TELMEX Argentina S.A.,5
2023,3,Facturación,AMX Argentina S.A. (Claro),26
2023,3,Facturación,DIRECTV Argentina S.A.L,8
2023,3,Facturación,Fibertel S.A. (TCI),2
2023,3,Facturación,Movistar - Telefonica Moviles Argentina S.A.,30
2023,3,Facturación,NSS S.A.,1
2023,3,Facturación,Otros,29
2023,3,Facturación,TELECENTRO S.A.,57
2023,3,Facturación,Telecom Argentina S.A.,223
2023,3,Facturación,Telefonica de Argentina S.A.,57
2023,3,Gestiones Administrativas,AMX Argentina S.A. (Claro),29
2023,3,Gestiones Administrativas,DIRECTV Argentina S.A.L,25
2023,3,Gestiones Administrativas,Fibertel S.A. (TCI),5
2023,3,Gestiones Administrativas,Movistar - Telefonica Moviles Argentina S.A.,51
2023,3,Gestiones Administrativas,NSS S.A.,5
2023,3,Gestiones Administrativas,Otros,14
2023,3,Gestiones Administrativas,PRIMA,1
2023,3,Gestiones Administrativas,TELECENTRO S.A.,70
2023,3,Gestiones Administrativas,Telecom Argentina S.A.,317
2023,3,Gestiones Administrativas,Telefonica de Argentina S.A.,118
2023,3,Otros,AMX Argentina S.A. (Claro),18
2023,3,Otros,DIRECTV Argentina S.A.L,3
2023,3,Otros,Fibertel S.A. (TCI),4
2023,3,Otros,Movistar - Telefonica Moviles Argentina S.A.,29
2023,3,Otros,Otros,16
2023,3,Otros,TELECENTRO S.A.,14
2023,3,Otros,Telecom Argentina S.A.,75
2023,3,Otros,Telefonica de Argentina S.A.,9
2023,3,Problemas Técnicos,AMX Argentina S.A. (Claro),22
2023,3,Problemas Técnicos,DIRECTV Argentina S.A.L,2
2023,3,Problemas Técnicos,Fibertel S.A. (TCI),13
2023,3,Problemas Técnicos,Movistar - Telefonica Moviles Argentina S.A.,26
2023,3,Problemas Técnicos,NSS S.A.,5
2023,3,Problemas Técnicos,Otros,55
